RowNumber,Working,Herding,Sporting,Hound,Terrier,Toy,Non-Sporting
1,Akita,Australian Cattle,American Water Spaniel,Afghan Hound,Airedale Terrier,Affenpinscher,American Eskimo
2,Alaskan Malamute,Australian Shepherd,Barbet,American English Coonhound,American Hairless Terrier,Biewer Terrier,Bichon Frise
3,Anatolian Shepherd,Bearded Collie,Boykin Spaniel,American Foxhound,American Staffordshire Terrier,Brussels Griffon,Boston Terrier
4,Bernese Mountain,Beauceron,Brittany,Azawakh,Australian Terrier,Cavalier King Charles Spaniel,Bull
5,Black Russian Terrier,Belgian Laekenois,Chesapeake Bay Retriever,Basenji,Bedlington Terrier,Chihuahua,Chinese Shar-Pei
6,Boerboel,Belgian Malinois,Clumber Spaniel,Basset Hound,Border Terrier,Chinese Crested,Chow Chow
7,Boxer,Belgian Sheepdog,Cocker Spaniel,Beagle,Bull Terrier,English Toy Spaniel,Coton de Tulear
8,Bullmastiff,Belgian Tervuren,Curly-Coated Retriever,Black and Tan Coonhound,Bully,Havanese,Dalmatian
9,Cane Corso,Bergamasco Sheepdog,English Cocker Spaniel,Bloodhound,Cairn Terrier,Italian Greyhound,Finnish Spitz
10,Chinook,Berger Picard,English Setter,Bluetick Coonhound,Cesky Terrier,Japanese Chin,French Bulldog
11,Doberman Pinscher,Border Collie,English Springer Spaniel,Borzoi,Dandie Dinmont Terrier,Maltese,Keeshond
12,Dogo Argentino,Bouvier des Flandres,Field Spaniel,Cirneco dell’Etna,Glen of Imaal Terrier,Toy Manchester Terrier,Lhasa Apso
13,Dogue de Bordeaux,Briard,Flat-Coated Retriever,Dachshund,Irish Terrier,Miniature Pinscher,Löwchen
14,German Pinscher,Canaan,German Shorthaired Pointer,English Foxhound,Kerry Blue Terrier,Papillon,Norwegian Lundehund
15,Giant Schnauzer,Cardigan Welsh Corgi,German Wirehaired Pointer,Grand Basset Griffon Vendéen,Lakeland Terrier,Pekingese,Poodle
16,Great Dane,Collie,Golden Retriever,Greyhound,Standard Manchester Terrier,Pomeranian,Schipperke
17,Great Pyrenees,Entlebucher Mountain,Gordon Setter,Harrier,Miniature Bull Terrier,Toy Poodle,Shiba Inu
18,Greater Swiss Mountain,Finnish Lapphund,Irish Red and White Setter,Ibizan Hound,Miniature Schnauzer,Pug,Tibetan Spaniel
19,Komondor,German Shepherd,Irish Setter,Irish Wolfhound,Norfolk Terrier,Russian Toy,Tibetan Terrier
20,Kuvasz,Icelandic Sheepdog,Irish Water Spaniel,Norwegian Elkhound,Norwich Terrier,Shih Tzu,Xoloitzcuintli
21,Leonberger,Miniature American Shepherd,Labrador Retriever,Otterhound,Parson Russell Terrier,Silky Terrier,
22,Mastiff,Mudi,Lagotto Romagnolo,Petit Basset Griffon Vendéen,Pit Bull Terrier,Toy Fox Terrier,
23,Neapolitan Mastiff,Norwegian Buhund,Nederlandse Kooikerhondje,Pharaoh Hound,Rat Terrier,Yorkshire Terrier,
24,Newfoundland,Old English Sheepdog,Nova Scotia Duck Tolling Retriever,Plott Hound,Russell Terrier,,
25,Portuguese Water,Pembroke Welsh Corgi,Pointer,Portuguese Podengo Pequeno,Scottish Terrier,,
26,Rottweiler,Polish Lowland Sheepdog,Spinone Italiano,Redbone Coonhound,Sealyham Terrier,,
27,St. Bernard,Puli,Sussex Spaniel,Rhodesian Ridgeback,Skye Terrier,,
28,Samoyed,Pumi,Vizsla,Saluki,Smooth Fox Terrier,,
29,Siberian Husky,Pyrenean Shepherd,Weimaraner,Scottish Deerhound,Soft Coated Wheaten Terrier,,
30,Standard Schnauzer,Shetland Sheepdog,Welsh Springer Spaniel,Sloughi,Staffordshire Bull Terrier,,
31,Tibetan Mastiff,Spanish Water,Wirehaired Pointing Griffon,Treeing Walker Coonhound,Welsh Terrier,,
32,,Swedish Vallhund,Wirehaired Vizsla,Whippet,West Highland White Terrier,,
33,,,,,Wire Fox Terrier,,